Scan,Time,SensorIndex,Range,Azimuth,RangeRate,ObjectID
1,0,1,25.0119,0.16886,0.015663,0
1,0,1,26.3653,0.16601,0.028612,0
1,0,1,28.9557,0.14763,-0.045595,0
1,0,1,31.6773,0.13392,0.0074346,0
1,0,1,34.3561,0.11566,0.0039721,0
1,0,1,35.18,-0.033667,1.4921,0
1,0,1,37.0203,0.1144,0.0011574,0
1,0,1,39.643,0.11277,-0.0027766,0
1,0,1,41.0712,0.1023,-0.01761,0
1,0,1,42.39,0.10193,-0.054451,0
1,0,1,43.5989,0.098937,0.0012519,0
1,0,1,58.6498,0.015363,4.9813,0
1,0,1,59.1756,0.032569,4.9948,0
1,0,1,61.103,0.013001,4.9762,0
1,0,1,63.483,0.0057971,5.0176,0
1,0,2,20.1222,-0.59135,0.047541,0
1,0,2,20.2116,-0.6084,-0.02991,0
1,0,2,21.1473,-0.64211,-0.025232,0
1,0,2,22.6045,-0.4363,-0.0030108,0
1,0,2,23.7594,-0.33109,-0.00026362,0
1,0,2,24.1349,-0.63959,0.026205,0
1,0,2,24.6592,-0.26738,-0.0056057,0
1,0,2,25.3807,-0.21648,0.03212,0
1,0,2,26.2393,-0.17339,0.026367,0
1,0,2,26.8854,-0.66615,-0.00064871,0
1,0,2,27.9183,-0.66832,-0.0083789,0
1,0,2,28.3308,-0.074596,0.0046697,0
1,0,2,29.5434,-0.67919,0.007538,0
1,0,2,29.7201,-0.044399,-0.012522,0
1,0,2,31.6968,0.053522,-0.0094004,0
1,0,2,32.5704,-0.68255,0.023572,0
1,0,2,33.8936,-0.68345,0.0017638,0
1,0,2,34.1824,0.10138,-0.009096,0
1,0,2,36.1906,-0.8445,1.5037,0
1,0,2,36.3835,-0.84038,1.5375,0
1,0,2,36.5568,0.16555,0.017082,0
1,0,2,36.8974,-0.69976,0.036946,0
1,0,2,37.7358,0.18997,0.025435,0
1,0,2,39.1175,0.2037,0.041288,0
1,0,2,39.5033,-0.69955,0.031025,0
1,0,2,42.0329,-0.70486,0.015059,0
1,0,2,42.039,0.23912,0.02609,0
1,0,2,44.7524,0.27551,-0.027128,0
1,0,2,45.2357,-0.70214,-0.039173,0
1,0,2,47.5682,0.324,0.025365,0
1,0,2,49.1135,0.33219,0.0031916,0
1,0,3,20.4983,1.0457,0.01539,0
1,0,3,21.2666,1.018,0.0030039,0
1,0,3,22.9404,1.0072,-0.028276,0
1,0,3,24.3532,0.99049,0.032386,0
1,0,3,27.1997,0.98336,0.012066,0
1,0,3,29.665,0.95825,0.034295,0
1,0,3,31.3104,0.95292,0.021712,0
1,0,3,34.2036,0.93366,-0.038106,0
1,0,3,35.9939,0.75928,1.4907,0
1,0,3,36.2526,0.77728,1.5193,0
1,0,3,36.8383,0.92578,0.0010598,0
1,0,3,39.6875,0.91599,-0.014461,0
1,0,3,42.6869,0.90822,0.017771,0
1,0,3,44.0794,0.89802,-0.028233,0
1,0,4,17.3882,-0.060881,4.7917,0
1,0,4,19.0422,-0.044518,4.8532,0
1,0,4,26.4004,-0.18217,0.012269,0
1,0,4,26.6279,-0.17501,0.0098113,0
1,0,4,29.0651,-0.15329,-0.02426,0
1,0,4,31.3623,-0.1309,0.0015062,0
1,0,4,34.0834,-0.14054,-0.0031715,0
1,0,4,36.4314,-0.11125,-0.014472,0
1,0,4,38.9304,-0.12361,-0.0076587,0
1,0,4,41.5478,-0.10357,-0.012141,0
1,0,4,43.2145,-0.10493,-0.0078028,0
1,0,4,43.691,-0.11658,-0.021673,0
1,0,4,46.4573,-0.079844,-0.030738,0
1,0,4,48.1572,-0.0022432,4.9784,0
1,0,4,48.3136,0.060106,5.0307,0
1,0,4,50.5698,0.029459,5.0213,0
1,0,4,52.952,0.023152,4.9931,0
1,0,5,3.5543,-0.96619,0.011928,0
1,0,5,3.5544,-0.90115,-0.015538,0
1,0,5,3.5548,-0.55653,-0.013748,0
1,0,5,3.6284,-0.48001,-0.019486,0
1,0,5,3.6439,-0.7666,0.0076947,0
1,0,5,3.6466,-0.69815,0.00097614,0
1,0,5,3.6617,-0.42302,0.013012,0
1,0,5,3.6724,-0.62818,-0.019043,0
1,0,5,3.7368,-0.82559,-0.046879,0
1,0,5,3.9662,-0.30011,0.014797,0
1,0,5,4.0222,-1.0305,-0.014429,0
1,0,5,4.0625,-0.35495,-0.02602,0
1,0,5,4.1177,-0.20648,-0.0072902,0
1,0,5,4.5383,-0.16539,-0.0059045,0
1,0,5,4.7625,-0.070233,-0.021919,0
1,0,5,4.801,-0.034335,-0.02092,0
1,0,5,5.3594,0.046061,-0.016824,0
1,0,5,5.9574,0.12001,-0.022992,0
1,0,5,6.3729,0.18539,-0.017661,0
1,0,5,6.4426,0.19842,-0.016051,0
1,0,5,7.1186,0.2588,-0.037994,0
1,0,5,7.9988,0.31415,-0.043635,0
1,0,5,8.9894,0.36283,-0.078224,0
1,0,5,9.498,0.39035,0.013642,0
1,0,5,11.5363,0.46036,-0.024369,0
1,0,5,13.6765,0.50885,0.0055256,0
1,0,5,13.9192,0.52458,-0.0098562,0
1,0,5,16.4339,0.55824,0.020949,0
1,0,5,18.3837,0.77734,4.8807,0
1,0,5,19.0076,0.77425,4.9147,0
1,0,5,19.0787,0.59596,0.0094871,0
1,0,5,19.1322,0.60236,0.036998,0
1,0,5,21.5397,0.60241,0.0059565,0
1,0,5,23.8304,0.62842,0.013482,0
1,0,5,26.3203,0.64609,-0.009476,0
1,0,5,29.1638,0.64424,-0.022894,0
1,0,5,30.0495,0.64608,-0.043163,0
1,0,5,31.5211,0.65821,-0.034337,0
1,0,5,33.9666,0.68487,0.044116,0
1,0,5,36.4085,0.69732,-0.032552,0
1,0,5,38.8988,0.68739,0.012849,0
1,0,5,41.4144,0.69442,0.0017147,0
1,0,5,43.5728,0.70389,0.017341,0
1,0,5,46.1725,0.71286,-0.0056373,0
1,0,5,48.7951,0.71737,-0.0069079,0
1,0,5,49.6465,0.81512,5.0355,0
1,0,6,18.193,-0.89138,4.7582,0
1,0,6,19.086,-0.88762,4.7763,0
1,0,6,20.401,-0.8823,4.7866,0
1,0,6,21.1198,-1.0542,-0.026438,0
1,0,6,21.7466,-1.0332,-0.041266,0
1,0,6,23.7038,-1.0122,-0.015014,0
1,0,6,24.2659,-1.0216,0.0031064,0
1,0,6,26.2845,-0.9954,-0.038451,0
1,0,6,28.8713,-0.97411,0.012847,0
1,0,6,31.6147,-0.95711,0.040381,0
1,0,6,33.8328,-0.94682,-0.011785,0
1,0,6,35.0226,-0.94698,-0.0036377,0
1,0,6,36.3707,-0.92701,-0.025802,0
1,0,6,39.1295,-0.92811,-0.0014688,0
1,0,6,49.1849,-0.78408,4.9821,0
2,0.1,1,25.1233,0.15512,0.0047665,0
2,0.1,1,26.167,0.16523,0.020222,0
2,0.1,1,29.0667,0.13262,-0.0167,0
2,0.1,1,31.7736,0.13635,0.018964,0
2,0.1,1,34.4122,0.11045,-0.0046559,0
2,0.1,1,34.9576,-0.040089,1.4413,0
2,0.1,1,37.0892,0.11764,-0.0074346,0
2,0.1,1,39.5798,0.10829,0.0082899,0
2,0.1,1,41.0314,0.10467,-0.023482,0
2,0.1,1,42.4962,0.093251,0.015361,0
2,0.1,1,43.744,0.086047,-0.0083071,0
2,0.1,1,58.223,-0.0020568,5.042,0
2,0.1,1,58.359,0.045126,4.9701,0
2,0.1,1,60.503,0.0082754,4.9961,0
2,0.1,1,63.0626,0.019504,4.9672,0
2,0.1,2,20.1605,-0.60093,-0.011367,0
2,0.1,2,20.1786,-0.58003,-0.031694,0
2,0.1,2,21.5076,-0.64267,0.0078195,0
2,0.1,2,22.6688,-0.43468,0.013597,0
2,0.1,2,23.951,-0.32383,-0.016114,0
2,0.1,2,24.1011,-0.6543,0.020366,0
2,0.1,2,24.6113,-0.27927,-0.055392,0
2,0.1,2,25.5814,-0.2069,0.0061649,0
2,0.1,2,26.2196,-0.16209,0.014964,0
2,0.1,2,26.5362,0.91076,53.8657,0
2,0.1,2,26.5872,-0.66639,-0.018646,0
2,0.1,2,28.469,-0.06986,0.017599,0
2,0.1,2,28.5392,-0.66052,-0.012117,0
2,0.1,2,29.2485,-0.039668,0.0092798,0
2,0.1,2,29.5729,-0.67664,-0.034084,0
2,0.1,2,31.8555,0.03831,-0.001986,0
2,0.1,2,32.4124,-0.66535,-0.052895,0
2,0.1,2,33.9024,-0.68731,-0.043003,0
2,0.1,2,34.1085,0.10702,0.0030917,0
2,0.1,2,35.8604,-0.85078,1.4723,0
2,0.1,2,36.21,-0.85908,1.484,0
2,0.1,2,36.7075,-0.6965,-0.011773,0
2,0.1,2,36.7743,0.15534,0.04853,0
2,0.1,2,37.7521,0.19101,0.0011606,0
2,0.1,2,39.3673,0.20383,-0.0088233,0
2,0.1,2,39.8274,-0.70056,0.016871,0
2,0.1,2,41.8962,0.24428,0.034976,0
2,0.1,2,42.4341,-0.7052,-0.0026383,0
2,0.1,2,44.5527,0.28949,0.029123,0
2,0.1,2,44.8595,-0.7076,0.0033805,0
2,0.1,2,47.7332,0.31208,0.043066,0
2,0.1,2,49.0567,0.33981,0.024367,0
2,0.1,3,20.5144,1.0399,-0.017954,0
2,0.1,3,21.2468,1.026,-0.013161,0
2,0.1,3,22.7747,1.0146,0.01331,0
2,0.1,3,24.1866,0.99349,0.012263,0
2,0.1,3,26.9892,0.97954,0.028654,0
2,0.1,3,29.9947,0.95651,-0.008712,0
2,0.1,3,31.3071,0.9412,-0.034258,0
2,0.1,3,34.0109,0.93517,-0.047118,0
2,0.1,3,35.9343,0.76843,1.4364,0
2,0.1,3,36.2712,0.77725,1.4946,0
2,0.1,3,37.1859,0.92308,0.047656,0
2,0.1,3,39.5816,0.9225,0.0080411,0
2,0.1,3,42.4262,0.90749,0.032843,0
2,0.1,3,44.1721,0.90865,-0.044585,0
2,0.1,4,17.0003,-0.075993,4.7806,0
2,0.1,4,26.1383,-0.1811,-0.028309,0
2,0.1,4,26.674,-0.15173,-0.0090161,0
2,0.1,4,29.0483,-0.15645,0.031245,0
2,0.1,4,31.5262,-0.14493,0.010738,0
2,0.1,4,33.8416,-0.13515,-0.056385,0
2,0.1,4,36.4012,-0.12513,-0.013821,0
2,0.1,4,39.015,-0.10775,-0.039932,0
2,0.1,4,41.5155,-0.11888,-0.015354,0
2,0.1,4,43.1854,-0.10979,-0.04778,0
2,0.1,4,44.0284,-0.095838,0.016823,0
2,0.1,4,47.8489,0.041691,5.0311,0
2,0.1,4,47.8687,0.0053454,5.0086,0
2,0.1,4,50.1349,0.015691,4.9551,0
2,0.1,4,52.6805,0.010672,4.9706,0
2,0.1,5,3.4273,-0.82264,-0.0012602,0
2,0.1,5,3.459,-0.63389,-0.03577,0
2,0.1,5,3.5201,-0.89513,-0.0016592,0
2,0.1,5,3.5804,-0.68967,0.0070885,0
2,0.1,5,3.5861,-1.0473,0.034396,0
2,0.1,5,3.5942,-0.53848,0.013727,0
2,0.1,5,3.6439,-0.96873,-0.0059093,0
2,0.1,5,3.7457,-0.76326,-0.0038783,0
2,0.1,5,3.88,-0.31044,0.011429,0
2,0.1,5,3.9122,-0.49139,-0.061422,0
2,0.1,5,3.9521,-0.42075,-0.00042683,0
2,0.1,5,3.9821,-0.37486,-0.028096,0
2,0.1,5,4.2695,-0.19642,-0.02525,0
2,0.1,5,4.3585,-0.16435,0.0217,0
2,0.1,5,4.8811,-0.040153,-0.023568,0
2,0.1,5,4.9616,-0.066944,-0.017565,0
2,0.1,5,5.4295,0.042033,0.0068091,0
2,0.1,5,6.1144,0.12858,-0.009108,0
2,0.1,5,6.4771,0.1735,-0.01316,0
2,0.1,5,6.5966,0.20917,-0.013871,0
2,0.1,5,7.0016,0.24434,0.021181,0
2,0.1,5,8.3433,0.32289,-0.012317,0
2,0.1,5,8.8036,0.38235,-0.0028283,0
2,0.1,5,9.3484,0.39375,-0.014899,0
2,0.1,5,11.3289,0.46516,-0.0044143,0
2,0.1,5,13.8467,0.51775,-0.019707,0
2,0.1,5,14.0319,0.52997,0.012896,0
2,0.1,5,16.3556,0.55106,0.0066167,0
2,0.1,5,17.9197,0.75349,4.8805,0
2,0.1,5,18.8092,0.58512,0.021187,0
2,0.1,5,18.9943,0.58793,0.0063358,0
2,0.1,5,19.7501,0.77138,4.8792,0
2,0.1,5,21.376,0.60761,0.0081766,0
2,0.1,5,23.8864,0.6502,0.0047698,0
2,0.1,5,26.4098,0.66007,0.038716,0
2,0.1,5,28.8892,0.65564,-0.0031775,0
2,0.1,5,30.0048,0.66729,-0.0090041,0
2,0.1,5,31.4324,0.65849,0.0070106,0
2,0.1,5,33.8923,0.67369,-0.010035,0
2,0.1,5,36.449,0.68397,-0.033201,0
2,0.1,5,38.957,0.69398,-0.014939,0
2,0.1,5,41.2805,0.70599,-0.014005,0
2,0.1,5,43.9279,0.70696,0.011806,0
2,0.1,5,46.2697,0.70702,0.01341,0
2,0.1,5,48.7531,0.71991,-0.0052551,0
2,0.1,5,48.8071,0.8194,5.0331,0
2,0.1,6,17.7819,-0.90321,4.7194,0
2,0.1,6,18.8373,-0.88928,4.759,0
2,0.1,6,21.3868,-1.0439,-0.0092656,0
2,0.1,6,21.5766,-1.0396,-0.013009,0
2,0.1,6,23.6244,-1.0205,-0.012781,0
2,0.1,6,24.353,-1.0036,0.0019748,0
2,0.1,6,26.2275,-0.99458,-0.02527,0
2,0.1,6,28.8761,-0.97396,-0.017484,0
2,0.1,6,31.6252,-0.96543,-0.0030176,0
2,0.1,6,33.8598,-0.94617,0.0089601,0
2,0.1,6,34.9259,-0.93069,-0.0051264,0
2,0.1,6,36.4657,-0.94249,-6.1504e-05,0
2,0.1,6,48.8958,-0.78632,5.0108,0
3,0.2,1,25.0768,0.16559,0.012913,0
3,0.2,1,26.4596,0.16519,0.040719,0
3,0.2,1,28.9834,0.15847,0.028988,0
3,0.2,1,31.6419,0.13348,-0.012212,0
3,0.2,1,34.4581,0.12045,0.055625,0
3,0.2,1,35.004,-0.050749,1.4814,0
3,0.2,1,37.0572,0.11559,0.024376,0
3,0.2,1,39.9847,0.10782,0.0058148,0
3,0.2,1,41.2098,0.097677,-0.0059803,0
3,0.2,1,42.5192,0.10328,0.023527,0
3,0.2,1,43.7919,0.11166,-0.0038352,0
3,0.2,1,57.5972,0.0063743,4.9666,0
3,0.2,1,57.6123,0.037154,4.9988,0
3,0.2,1,60.0663,0.0026555,4.9615,0
3,0.2,1,62.3256,0.0040007,4.9724,0
3,0.2,2,19.9314,-0.61765,-0.011818,0
3,0.2,2,20.4246,-0.58155,-0.0074634,0
3,0.2,2,21.2414,-0.63461,-0.02211,0
3,0.2,2,22.9123,-0.43821,0.033415,0
3,0.2,2,24.0241,-0.64843,-0.03123,0
3,0.2,2,24.0475,-0.32177,-0.010786,0
3,0.2,2,24.2898,-0.26772,0.021863,0
3,0.2,2,25.4156,-0.22393,-0.012801,0
3,0.2,2,26.3278,-0.17763,0.011299,0
3,0.2,2,26.8131,-0.66656,0.0073164,0
3,0.2,2,28.2843,-0.082673,0.030794,0
3,0.2,2,28.2929,-0.67267,0.0033851,0
3,0.2,2,29.5584,-0.66631,-0.00048712,0
3,0.2,2,29.6003,-0.037599,-0.0046468,0
3,0.2,2,31.6013,0.042391,0.0054521,0
3,0.2,2,32.6881,-0.68511,-0.023643,0
3,0.2,2,33.8784,-0.68363,-0.019397,0
3,0.2,2,33.9845,0.10856,-0.065978,0
3,0.2,2,35.8403,-0.84402,1.5131,0
3,0.2,2,36.6281,-0.68187,-0.00092885,0
3,0.2,2,36.6646,0.15224,-0.011821,0
3,0.2,2,37.7749,0.17278,0.005015,0
3,0.2,2,39.2933,-0.70021,0.016615,0
3,0.2,2,39.4632,0.20479,0.0027691,0
3,0.2,2,42.0978,0.23784,0.04177,0
3,0.2,2,42.301,-0.70324,0.02459,0
3,0.2,2,44.7856,-0.71628,-0.016485,0
3,0.2,2,45.0396,0.28454,0.0085712,0
3,0.2,2,47.644,0.31026,-4.1458e-05,0
3,0.2,2,49.0307,0.33614,0.013178,0
3,0.2,3,20.5186,1.0417,-0.022568,0
3,0.2,3,21.51,1.0281,0.0017605,0
3,0.2,3,22.61,1.0041,0.02018,0
3,0.2,3,24.1856,0.98933,-0.0027884,0
3,0.2,3,27.0375,0.97756,0.022843,0
3,0.2,3,29.9062,0.94915,0.038166,0
3,0.2,3,31.2337,0.94242,-0.017337,0
3,0.2,3,34.1647,0.942,-0.031998,0
3,0.2,3,36.0565,0.76697,1.545,0
3,0.2,3,37.1273,0.91621,0.00018702,0
3,0.2,3,39.8822,0.91128,-0.0091243,0
3,0.2,3,42.8245,0.90228,0.031845,0
3,0.2,3,44.0561,0.91454,0.013535,0
3,0.2,4,16.3911,-0.084396,4.7952,0
3,0.2,4,16.577,-0.1166,4.7322,0
3,0.2,4,26.089,-0.17408,0.033965,0
3,0.2,4,26.5244,-0.16752,-0.048568,0
3,0.2,4,28.9721,-0.15134,0.044066,0
3,0.2,4,31.3549,-0.14275,0.026549,0
3,0.2,4,33.9503,-0.1392,-0.026228,0
3,0.2,4,36.3367,-0.13398,-0.0068207,0
3,0.2,4,38.869,-0.11562,0.010964,0
3,0.2,4,47.2824,0.020788,5.0382,0
3,0.2,4,47.4402,0.052134,5.0609,0
3,0.2,4,49.6783,0.017059,4.9525,0
3,0.2,4,51.7112,0.013402,4.9689,0
3,0.2,5,3.3861,-0.82506,-0.015398,0
3,0.2,5,3.471,-0.75936,0.020919,0
3,0.2,5,3.6103,-0.54184,-0.0099716,0
3,0.2,5,3.6739,-0.67853,0.009004,0
3,0.2,5,3.7528,-0.47862,-0.00070328,0
3,0.2,5,3.7829,-0.95896,0.0010409,0
3,0.2,5,3.7928,-0.89746,-0.0041908,0
3,0.2,5,3.8031,-0.62438,-0.0084912,0
3,0.2,5,3.8143,-0.41307,-0.017381,0
3,0.2,5,3.8167,-1.0282,-0.013786,0
3,0.2,5,3.9596,-0.36167,-0.02235,0
3,0.2,5,4.0215,-0.2969,-0.0017558,0
3,0.2,5,4.285,-0.157,-0.0072889,0
3,0.2,5,4.4292,-0.20354,-0.0098572,0
3,0.2,5,4.7935,-0.028733,0.043855,0
3,0.2,5,5.0469,-0.073392,0.011183,0
3,0.2,5,5.4492,0.034619,-0.020394,0
3,0.2,5,6.0471,0.12472,0.046783,0
3,0.2,5,6.2891,0.17259,0.003364,0
3,0.2,5,6.5414,0.19515,-0.016911,0
3,0.2,5,7.1067,0.2407,0.016237,0
